user_id,transaction_id,amount,timestamp
USER049470,7c1ccfb2-fe2c-4d8d-88a0-ff94d531b7c6,771.54,2023-12-04T17:21:12
USER184856,67b1272a-c8a7-4715-84cf-a8ed77787c12,606.71,2024-07-21T18:51:30
USER822581,5b718b06-a0a9-408c-934a-e5bac99a828c,142.54,2024-07-24T21:31:54
USER259675,e0a3ab2c-a1e4-466f-bd1c-8b68dd7ec298,981.29,2024-12-09T08:20:08
USER060271,6f78311d-eb0d-4c16-a5bd-532bdd24ff3d,990.04,2024-08-26T22:38:51
lg5UN9qbbjmMwqbc,0e109820-d068-448d-857f-c005d1834bf3,130.9,2023-11-17T14:22:27
USER660142,c55cf4f4-5555-46b4-b1d3-ca04d27d2865,673.46,2023-07-12T01:27:41
USER647362,cc3708b7-16df-4f17-b727-c5858e59f889,674.73,2023-12-07T13:57:05
USER451733,2c4622ff-2b2c-4172-b62e-dc5fc0d121c3,113.21,2023-11-23T06:48:01
USER224371,2ad6042a-474f-4fb5-a51d-87aca0e2cd9a,336.85,2024-10-06T04:30:23
USER579382,7ab38de1-84d0-4029-b6fb-618e2567bcc1,295.94,2024-12-03T16:11:47
USER592306,b0fbaffa-9cf5-4d81-ab57-1ba13bd42756,570.49,2023-02-21T10:36:09
USER381768,1c6c9619-fd40-4d4a-85c8-775da9d97946,44.86,2023-02-24T23:21:54
USER728130,dc37e11e-8c36-45cd-87e0-5ac16eddb7c5,193.22,2023-07-24T12:57:16
USER849911,dab7da39-2a43-4231-9784-a8a1b938a557,174.87,2024-02-18T04:28:29
USER535648,aefdcef6-2e4f-45db-b648-e09930bad9b3,385.04,2024-12-26T09:33:01
USER768546,025b858c-63e5-4a42-a065-4a75be3354e7,827.33,2024-10-19T15:07:08
USER993681,5740208f-e6c8-48ec-bdb9-69767434228e,412.21,2023-07-03T08:07:45
USER889306,052a93af-8ebc-4860-ac47-6a2c2f20f904,630.84,2023-12-01T04:28:06
USER760593,4630f0dc-f13b-4123-be0b-e1b92a40f03a,670.66,2023-04-08T05:35:12
USER849911,4ccf4126-758f-4dbd-9d7f-caf4dd321c66,943.31,2024-01-23T22:58:17
USER069012,b9dc907f-48d3-449f-bfa5-700bf667f5c8,214.09,2024-04-10T09:30:09
USER569835,abe89e94-a925-4b5e-bcfb-e214efda02c2,905.98,2023-08-29T13:40:37
USER806770,91a213d3-99ab-4f22-8248-697c89934c84,893.15,2024-04-26T18:15:46
USER815885,41272103-b2f9-492a-9f8a-7662ab4bb3ea,293.66,2024-04-16T17:29:31
USER569835,4fbaab41-f1a3-4bd4-9d50-b4784e68f6f0,593.81,2023-10-29T11:48:24
USER472795,8bd1abff-7c0d-4a1f-b35c-27426c56a6a3,916.11,2023-01-04T15:55:36
USER571509,1a08aaf6-7062-4d7b-a916-5c48105440f2,490.71,2023-04-29T16:47:47
USER264423,8f11060a-c2ba-48d0-b9a9-ef81c2d62efd,453.38,2023-07-20T19:00:48
USER427771,84a98c84-779b-4679-8120-26a956b7c60a,739.09,2023-08-22T07:58:19
USER031244,f50ad1c3-e546-4fc6-88b9-12efc4a980f5,338.91,2024-11-24T04:08:23
USER049470,1333d62d-49dc-4fc8-a992-89bed890e326,946.56,2023-09-13T10:25:27
USER238401,6e3dc423-11b2-4dfc-9427-e7d9b547213b,882.12,2024-06-05T02:17:50
USER022329,343c1e67-6137-4909-bc65-e2747870d534,122.38,2023-12-26T14:33:31
USER586171,d6a08721-c57c-4e1d-92d1-e7a84e49e0e0,236.07,2023-09-20T21:47:04
USER325723,a1a4a982-578f-4629-acb7-2820b02a20a0,403.74,2024-12-25T06:05:59
USER901797,52e9a7a2-0429-49b1-ab54-80b3c001df10,462.69,2023-02-21T16:47:50
USER049470,4fdeeff3-958f-4c19-8367-ac2e2aee3299,886.04,2023-02-25T11:15:10
USER652981,e57c0ff7-a7aa-46ee-a324-b6e201adbf2c,530.21,2023-03-06T08:15:11
USER760593,5GdONnQwJTCEsu,84.0,2024-07-08T21:12:00
USER908753,6ad46f05-8c3a-4130-9016-857b55ae277b,648.2,2024-12-01T07:05:17
USER898525,0b6d3491-ca12-4a94-b07a-443af0416bc6,69.82,2023-08-18T07:35:44
USER069012,4325e486-5615-4774-9b7a-6655b3350945,983.57,2023-06-02T01:07:56
USER473540,e5a3c6b5-3289-4403-aa57-25cd76b57324,867.52,2024-10-22T16:56:46
